expansion_id,expansion_title,card_number,name,card_type,clan_or_nation,grade,power,shield,skill,detail_url,image_url,image_file
5,[BT01]Descent of the King of Knights,BT01/001EN,"King of Knights, Alfred",Normal Unit,Royal Paladin,3,10000,-,"[CONT](VC):Your units cannot boost this unit. [CONT](VC):During your turn, this unit gets [Power] +2000 for each of your <Royal Paladin> rear-guards. [ACT](VC/RC):[Counter-Blast 3] Search your deck for up to one grade 2 or less <Royal Paladin>, call it to (RC), and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/001EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_001EN.png,"vanguard_scrape_out\images\BT01_001EN__King_of_Knights,_Alfred.png"
5,[BT01]Descent of the King of Knights,BT01/002EN,Blaster Blade,Normal Unit,Royal Paladin,2,9000,5000,"[AUTO]:[Counter-Blast 2] When this unit is placed on (VC), you may pay the cost. If you do, choose an opponent's rear-guard, and retire it. [AUTO]:[Counter-Blast 2] When this unit is placed on (RC), if you have a <Royal Paladin>> vanguard, you may pay the cost. If you do, choose an opponent's grade 2 or greater rear-guard, and retire it.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/002EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_002EN.png,vanguard_scrape_out\images\BT01_002EN__Blaster_Blade.png
5,[BT01]Descent of the King of Knights,BT01/003EN,Barcgal,Normal Unit,Royal Paladin,0,4000,10000,"[AUTO]:When another <Royal Paladin> rides this unit, you may call this card to (RC). [ACT](RC):[Rest this unit] Search your deck for up to one card named ""Future Knight, Llew"" or ""Flogal"", call it to (RC), and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/003EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_003EN.png,vanguard_scrape_out\images\BT01_003EN__Barcgal.png
5,[BT01]Descent of the King of Knights,BT01/004EN,Dragonic Overlord,Normal Unit,Kagero,3,11000,-,"[CONT](VC/RC):If you do not have another <Kagero> vanguard or rear-guard, this unit gets [Power] -2000. [ACT](VC/RC):[Counter-Blast 3] Until end of turn, this unit gets [Power] +5000, gets ""Own(VC/RC):When this unit's attack hits an opponent's rear-guard, [Stand] this unit,"" and loses ""Twin Drive!!"".",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/004EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_004EN.png,vanguard_scrape_out\images\BT01_004EN__Dragonic_Overlord.png
5,[BT01]Descent of the King of Knights,BT01/005EN,"Embodiment of Victory, Aleph",Normal Unit,Kagero,3,10000,-,"[ACT](VC/RC):[Counter-Blast 4] This unit gets [Power] +3000/[Critical] +1 until end of turn. [ACT](VC):[Choose a card named ""Dragon Knight, Aleph"", a card named ""Embodiment of Armor, Bahr"", and a card named ""Embodiment of Spear, Tahr"" from your soul, and put them into your drop zone] Turn all cards in your damage zone face up.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/005EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_005EN.png,"vanguard_scrape_out\images\BT01_005EN__Embodiment_of_Victory,_Aleph.png"
5,[BT01]Descent of the King of Knights,BT01/006EN,CEO Amaterasu,Normal Unit,Oracle Think Tank,3,10000,-,"[CONT](VC):During your turn, if the number of cards in your hand is four or greater, this unit gets [Power] +4000. [AUTO](VC):At the beginning of your main phase, [Soul-Charge 1], look at the top card of your deck, and put that card on the top or the bottom of your deck. [AUTO](VC/RC):[Soul-Blast 8 & Counter-Blast 5] When this unit's attack hits, you may pay the cost. If you do, draw up to five cards.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/006EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_006EN.png,vanguard_scrape_out\images\BT01_006EN__CEO_Amaterasu.png
5,[BT01]Descent of the King of Knights,BT01/007EN,"Battle Sister, Cocoa",Normal Unit,Oracle Think Tank,1,6000,5000,"[AUTO]:When this unit is placed on (VC) or (RC), if you have an <Oracle Think Tank> vanguard, look at the top card of your deck, and put that card on the top or the bottom of your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/007EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_007EN.png,"vanguard_scrape_out\images\BT01_007EN__Battle_Sister,_Cocoa.png"
5,[BT01]Descent of the King of Knights,BT01/008EN,Asura Kaiser,Normal Unit,Nova Grappler,3,11000,-,"[CONT](VC/RC):If you do not have another <Nova Grappler> vanguard or rear-guard, this unit gets [Power] -2000. [AUTO](VC):When this unit's drive check reveals a grade 3 <Nova Grappler>, choose one of your rear-guards, and [Stand] it.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/008EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_008EN.png,vanguard_scrape_out\images\BT01_008EN__Asura_Kaiser.png
5,[BT01]Descent of the King of Knights,BT01/009EN,"Demon Slaying Knight, Lohengrin",Normal Unit,Royal Paladin,3,10000,-,"[AUTO](VC):At the beginning of your main phase, [Soul-Charge 1], and this unit gets [Power] +2000 until end of turn. [AUTO](VC/RC):[Soul-Blast 8 & Counter-Blast 5] When this unit's attack hits, you may pay the cost. If you do, retire all of your opponent's rear-guards.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/009EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_009EN.png,"vanguard_scrape_out\images\BT01_009EN__Demon_Slaying_Knight,_Lohengrin.png"
5,[BT01]Descent of the King of Knights,BT01/010EN,"Solitary Knight, Gancelot",Normal Unit,Royal Paladin,3,9000,-,"[ACT](VC):[Counter-Blast 2] If you have a card named ""Blaster Blade"" in your soul, this unit gets [Power] +5000/[Critical] +1 until end of turn. [ACT](Hand):[Reveal this card to your opponent, and put it on top of your deck] Search your deck for up to one card named ""Blaster Blade"", reveal it to your opponent, put it into your hand, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/010EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_010EN.png,"vanguard_scrape_out\images\BT01_010EN__Solitary_Knight,_Gancelot.png"
