card_id_hex,card_id_dec,name,attack,shield
36B0,14000,"Crimson Butterfly, Brigitte",10000,0
36B2,14002,Blaster Blade,9000,5000
36B3,14003,"Knight of the Harp, Tristan",8000,5000
36B4,14004,Wingal,6000,5000
36B5,14005,Starlight Unicorn,6000,5000
36B6,14006,"Knight of Rose, Morgana",6000,5000
36B7,14007,Stardust Trumpeter,6000,10000
36B8,14008,"Bringer of Good Luck, Epona",5000,10000
36CE,14030,Dragonic Overlord,11000,0
36CF,14031,"Dragon Monk, Goku",10000,0
36D0,14032,"Demonic Dragon Berserker, Yaksha",9000,0
36D1,14033,Berserk Dragon,9000,5000
36D2,14034,"Flame of Hope, Aermo",6000,5000
36D3,14035,"Demonic Dragon Madonna, Joka",6000,5000
36D4,14036,"Lizard Runner, Undeux",6000,10000
36D5,14037,"Demonic Dragon Mage, Rakshasa",3000,10000
36EC,14060,Gold Rutile,10000,0
36ED,14061,Death Metal Droid,10000,0
36EE,14062,"Super Electromagnetic Lifeform, Storm",9000,5000
36EF,14063,Oasis Girl,7000,5000
36F0,14064,Battering Minotaur,6000,5000
36F1,14065,Battleraizer,3000,10000
370A,14090,"Goddess of Flower Divination, Sakuya",10000,0
370B,14091,Meteor Break Wizard,10000,0
370C,14092,Sword Dancer Angel,8000,5000
370D,14093,Dark Cat,7000,5000
370E,14094,"Weather Girl, Milk",6000,5000
370F,14095,"Battle Sister, Maple",6000,5000
3710,14096,Lozenge Magus,3000,10000
3728,14120,"Great Silver Wolf, Garmore",10000,0
3729,14121,Sleygal Double Edge,10000,0
372A,14122,"Battlefield Storm, Sagramore",10000,0
372B,14123,Sleygal Sword,9000,5000
372C,14124,"Sacred Guardian Beast, Nemean Lion",8000,5000
372D,14125,Charging Chariot Knight,8000,5000
372E,14126,"Evil Slaying Swordsman, Haugan",7000,5000
372F,14127,"Precipice Whirlwind, Sagramore",6000,5000
3730,14128,Charjgal,6000,5000
3731,14129,Blessing Owl,6000,5000
3732,14130,Silver Fang Witch,5000,5000
3733,14131,"Grassland Breeze, Sagramore",6000,10000
3734,14132,Silent Punisher,5000,10000
3735,14133,"Weapons Dealer, Gwydion",5000,5000
3736,14134,Fortune Bell,5000,10000
3737,14135,Elixir Sommelier,5000,10000
3746,14150,Thunder Break Dragon,10000,0
3747,14151,Djinn of the Lightning Flash,10000,0
3748,14152,Plasmabite Dragon,10000,0
3749,14153,Shieldblade Dragoon,8000,5000
374A,14154,Djinn of the Lightning Flare,8000,5000
374B,14155,Brightjet Dragon,8000,5000
374C,14156,"Lizard Soldier, Riki",7000,5000
374D,14157,"Lightning of Hope, Helena",6000,5000
374E,14158,Djinn of the Lightning Spark,6000,5000
374F,14159,"Dragon Dancer, RaiRai",6000,5000
3750,14160,Wyvern Supply Unit,6000,5000
3751,14161,"Lizard Soldier, Sishin",6000,10000
3752,14162,Yellow Gem Carbuncle,5000,10000
3753,14163,Old Dragon Mage,5000,5000
3754,14164,"Zephyr Kid, Hayate",5000,10000
3755,14165,"Demonic Dragon Nymph, Seiobo",5000,10000
3A98,15000,"King of Knights, Alfred",10000,0
3A99,15001,Blaster Blade,9000,5000
3A9A,15002,Barcgal,4000,10000
3A9B,15003,Dragonic Overlord,11000,0
3A9C,15004,"Embodiment of Victory, Aleph",10000,0
3A9D,15005,CEO Amaterasu,10000,0
3A9E,15006,"Battle Sister, Cocoa",6000,5000
